Group Name,Bias_GALAXY_ID,SigmaNMAD_GALAXY_ID,OutlierFrac_GALAXY_ID,NLL_GALAXY_ID,Loss_GALAXY_ID,Bias_GALAXY_MISSING_BANDS,SigmaNMAD_GALAXY_MISSING_BANDS,OutlierFrac_GALAXY_MISSING_BANDS,NLL_GALAXY_MISSING_BANDS,Loss_GALAXY_MISSING_BANDS,Bias_GALAXY_OFFSET,SigmaNMAD_GALAXY_OFFSET,OutlierFrac_GALAXY_OFFSET,NLL_GALAXY_OFFSET,Loss_GALAXY_OFFSET,Bias_GALAXY_HIGH_Z,SigmaNMAD_GALAXY_HIGH_Z,OutlierFrac_GALAXY_HIGH_Z,NLL_GALAXY_HIGH_Z,Loss_GALAXY_HIGH_Z,Bias_QSO,SigmaNMAD_QSO,OutlierFrac_QSO,NLL_QSO,Loss_QSO,Loss_Total
AstroMagic,0.00081,0.00629,0.06528,-1.87324,-0.07129,0.00479,0.02152,0.09105,-1.46397,-0.00585,0.21732,0.20361,0.48516,2.21351,0.90609,-0.0548,0.06217,0.08694,52.69026,0.20391,-0.00217,0.00594,0.11941,0.182,0.08662,0.20811
BKN_Machine,0.00101,0.01641,0.04125,-1.37106,-0.05988,0.00307,0.03954,0.04914,-0.68913,0.00729,0.02741,0.05983,0.1516,-0.24287,0.17669,-0.40614,0.15634,0.58842,4.05677,1.15089,-0.07129,0.08701,0.28219,3.19175,0.44049,0.29306
DeepShiftV1,-0.00319,0.00936,0.03164,,0.0442,0.0063,0.07502,0.12067,,0.20199,0.06977,0.14883,0.39056,,0.60916,-0.41086,0.13319,0.60499,,1.14904,-0.05092,0.02856,0.22932,,0.30879,0.43618
Redshift_Rebels_3.0,-0.00105,0.00778,0.03082,,0.03964,0.0289,0.11304,0.21811,,0.36005,0.00689,0.1344,0.32597,,0.46726,-0.45278,0.15832,0.646,,1.25709,-0.03172,0.02619,0.20864,,0.26655,0.45543
Deep_shift2,0.00086,0.01144,0.03777,,0.05007,0.01209,0.07746,0.12235,,0.21191,0.02355,0.13683,0.33423,,0.49461,-0.46388,0.15807,0.65157,,1.27353,-0.07478,0.07558,0.3042,,0.45456,0.45649
AstroDUNE_v6,0.00038,0.00682,0.0328,,0.04,0.01642,0.08073,0.13531,,0.23245,0.12686,0.19063,0.46678,,0.78427,-0.39752,0.14658,0.58202,,1.12612,-0.01096,0.01709,0.18229,,0.21034,0.4616
Deep_shift3,0.00154,0.01054,0.03744,,0.04953,0.02292,0.0786,0.13009,,0.23162,0.052,0.16338,0.40371,,0.61908,-0.45721,0.17066,0.64026,,1.26812,-0.02482,0.0609,0.26351,,0.34923,0.47355
Cosmos-v3,-0.00047,0.01571,0.0328,,0.04898,0.02052,0.08557,0.14978,,0.25588,0.06302,0.15317,0.39039,,0.60658,-0.42256,0.14351,0.61171,,1.17778,-0.15722,0.14606,0.36791,,0.67119,0.48986
AstroDUNE_v8,-0.00167,0.01541,0.03661,,0.05369,0.01701,0.09221,0.19337,,0.30259,0.14273,0.21753,0.51113,,0.87138,-0.41927,0.14388,0.62057,,1.18372,-0.02304,0.0189,0.17879,,0.22073,0.50972
cosmos1,0.00852,0.04849,0.09692,,0.15393,0.02883,0.08912,0.1831,,0.30105,0.3409,0.31476,0.58853,,1.24419,-0.1865,0.13006,0.40551,,0.72207,-0.04625,0.067,0.18629,,0.29954,0.5296
ANN-Z_2,0.00318,0.03246,0.06262,5.18978,0.09826,0.05798,0.07968,0.14187,5.15766,0.27954,0.18812,0.1688,0.46627,5.1953,0.82319,-0.41173,0.12845,0.61532,5.11307,1.1555,-0.19575,0.17281,0.40377,4.90602,0.77233,0.55836
ANN-Z(1),0.03366,0.06277,0.24205,,0.33847,0.18802,0.16157,0.44766,,0.79725,0.0121,0.16751,0.38364,,0.56325,-0.15163,0.10909,0.20259,,0.4633,-0.47451,0.27587,0.58306,,1.33344,0.59965
ANN-Z,-0.00337,0.0211,0.25464,,0.27911,-0.06331,0.12341,0.31151,,0.49823,-0.10701,0.22674,0.52867,,0.86241,-0.96072,0.14007,0.9165,,2.01728,-0.74954,0.43635,0.62225,,1.80814,0.94013
cosmos4,-0.02876,0.13329,0.18472,-0.11063,0.29125,-0.03812,0.19734,0.40626,1.52045,0.64172,0.16012,0.23067,0.52479,0.42139,0.88665,-0.60356,0.11373,0.94439,5.06707,1.66168,-1.27121,0.22403,0.95213,41.58912,2.44738,0.97012
cosmos2,-0.02876,0.13329,0.18472,-0.11063,0.29125,-0.03812,0.19734,0.40626,1.52045,0.64172,0.16012,0.23067,0.52479,0.42139,0.88665,-0.60356,0.11373,0.94439,5.06707,1.66168,-1.27121,0.22403,0.95213,41.58912,2.44738,0.97012
cosmos5,-0.02913,0.1345,0.18555,-0.10553,0.2939,-0.03769,0.19732,0.40778,1.52513,0.64279,0.16075,0.23135,0.52917,0.41741,0.89215,-0.6041,0.11369,0.94587,5.08417,1.66366,-1.27263,0.22391,0.95264,42.06539,2.44918,0.97281
